targa,cliente_id,marca,modello,versione,motore,telaio,data_immatricolazione,data_revisione,note,raw_promek
FV741SS,43b6be2a-91e4-4c28-804e-e376a0cde53f,PEUGEOT,5008 2ª serie,,,VF3MCYHZRKL007624,2019-02-11,,,"{""marca_orig"": ""PEUGEOT"", ""modello_orig"": ""5008 2ª serie""}"
GD844BA,68db87b7-8c84-40ce-95bf-194190a22586,CITROËN,Jumpy (4ª serie),Jumpy 2.0BlueHDi120S&SEAT8 PL-SL F.XL Cl,"DW10FE,AH01",VF7VEAHK8L7058303,2020-11-10,2025-01-31,,"{""marca_orig"": ""CITROËN"", ""modello_orig"": ""Jumpy (4ª serie)"", ""versione_orig"": ""Jumpy 2.0BlueHDi120S&SEAT8 PL-SL F.XL Cl"", ""altro"": ""JUMPY SPACETOURER""}"
CZ514BZ,815055e5-e687-4e28-8a55-7914792fbd97,VOLVO,V50 (2003-2012),V50 2.0 D Kinetic,D4204T,YV1MW754162180061,2005-11-30,2023-10-13,,"{""marca_orig"": ""VOLVO"", ""modello_orig"": ""V50 (2003-2012)"", ""versione_orig"": ""V50 2.0 D Kinetic""}"
EZ382JE,e5ecf49a-dc7b-495e-a000-b470df28138e,HONDA,CR-V,2.2 i-DTEC,N22B3,SHSRE6740FU201651,2015-05-05,,,"{""marca_orig"": ""Honda"", ""modello_orig"": ""CR-V"", ""versione_orig"": ""2.2 i-DTEC""}"
FS403JR,51bfea99-2c5e-4834-b984-b687d1179af4,LAND ROVER,RR Evoque 1ª serie,RR Evoque 2.0 eD4 5p. Pure,204DTD,SALVB2DN4JH319883,2018-08-28,,,"{""marca_orig"": ""LAND ROVER"", ""modello_orig"": ""RR Evoque 1ª serie"", ""versione_orig"": ""RR Evoque 2.0 eD4 5p. Pure""}"
GV245ZN,012acb5e-0c5a-4918-a447-80d4fed111b9,RENAULT,Trafic 4ª serie,Trafic T27 dCi120 PC-TN Furgone Ice,"M9RV7,M9R710",VF1FL000166242964,2021-03-23,,,"{""marca_orig"": ""RENAULT"", ""modello_orig"": ""Trafic 4ª serie"", ""versione_orig"": ""Trafic T27 dCi120 PC-TN Furgone Ice""}"
--,4d268cbf-1a4d-4d88-b0b5-89b09687ddea,,,,,,,,,"{""altro"": ""FRESA GRK 150""}"
00,4d268cbf-1a4d-4d88-b0b5-89b09687ddea,,,,,,,,,"{""altro"": ""FRESA GRK 150""}"
003781,66544055-3e80-4d24-bafb-6319109d71c7,PIAGGIO,Porter 3ª serie,,,ZAPNP6B1A0P003781,,,,"{""marca_orig"": ""PIAGGIO"", ""modello_orig"": ""Porter 3ª serie"", ""altro"": ""1498cc euro 6d/FINAL benz gpl""}"
111111,c1f77b73-adb7-4ea7-9b69-a98c4235c47f,,,,,,,,,"{""altro"": ""PUNTO JTD""}"
2860018,df435b05-65d8-40fb-8e23-73e45be3a00d,FIAT,Ducato (4ª serie),Ducato 35 2.3 MJT PLM Cabinato,F1AE0481D,ZFA25000002860018,2015-08-10,,,"{""marca_orig"": ""FIAT"", ""modello_orig"": ""Ducato (4ª serie)"", ""versione_orig"": ""Ducato 35 2.3 MJT PLM Cabinato""}"
